 -2.991000  0.00000100  0.00000100************  0.00000000
 -2.973000  0.00000100  0.00000100************  0.00000000
  3.867000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.885000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.903000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.921000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.939000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.957000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.975000  1.00000000 -1.00000000  0.00000000  0.00000000
  3.993000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.011000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.029000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.047000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.065000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.083000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.101000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.118999  1.00000000 -1.00000000  0.00000000  0.00000000
  4.137000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.155000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.173000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.191000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.209000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.227000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.245000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.263000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.281000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.299000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.317000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.335000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.353000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.371000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.388999  1.00000000 -1.00000000  0.00000000  0.00000000
  4.407000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.425000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.443000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.460999  1.00000000 -1.00000000  0.00000000  0.00000000
  4.479000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.497000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.515000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.533000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.551000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.569000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.587000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.605000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.623000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.641000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.658999  1.00000000 -1.00000000  0.00000000  0.00000000
  4.677000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.695000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.713000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.730999  1.00000000 -1.00000000  0.00000000  0.00000000
  4.749000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.767000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.785000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.802999  1.00000000 -1.00000000  0.00000000  0.00000000
  4.821000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.839000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.857000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.875000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.893000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.911000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.928999  1.00000000 -1.00000000  0.00000000  0.00000000
  4.947000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.965000  1.00000000 -1.00000000  0.00000000  0.00000000
  4.983000  0.10000002 -0.10000002  0.00000000  0.00000000
  5.000999  0.00000010  0.00000010  0.00000000  0.00000000
  5.019000  0.00000100  0.00000100  0.00000000  0.00000000
